,station crossing,cross-y,cross-x,St,Ave,start station latitude,start station longitude,departing age,arriving age,Cluster,Neighborhood,umap-x,umap-y
Crescent St & 34 Ave,Crescent St & 34 Ave,Crescent St,34 Ave,Crescent St,34 Ave,40.76108000000019,-73.93056200000066,-0.24858757062156656,-0.17857142857133113,cat-2,Queens,-8.238997,4.1580143
37 Ave & 35 St,37 Ave & 35 St,37 Ave,35 St,35 St,37 Ave,40.75311059999987,-73.92799169999984,-0.8811320754716689,-2.1761467889907635,cat-2,Queens,-8.685474,6.14799
21 St & Hoyt Ave S,21 St & Hoyt Ave S,21 St,Hoyt Ave S,21 St,Hoyt Ave S,40.774645000000206,-73.92370600000069,-2.028355387523561,-2.743925233644859,cat-2,Queens,-9.475336,6.0256505
3 Ave & 14 St,3 Ave & 14 St,3 Ave,14 St,14 St,3 Ave,40.668545500000334,-73.99333263999932,-2.1663479923518025,-2.597765363128474,cat-5,South Brooklyn,-6.2381077,3.8464677
48 Ave & 5 St,48 Ave & 5 St,48 Ave,5 St,5 St,48 Ave,40.74436328706716,-73.95587325096129,-0.7923076923077588,-1.0793036750483225,cat-2,Queens,-10.478439,4.0604196
E 118 St & Park Ave,E 118 St & Park Ave,E 118 St,Park Ave,E 118 St,Park Ave,40.80053849999975,-73.94199490000024,-1.798058252427154,-1.5657142857141935,cat-10,Harlem,-10.842864,3.786808
Crescent St & Ditmars Blvd,Crescent St & Ditmars Blvd,Crescent St,Ditmars Blvd,Crescent St,N.A.,40.7787185000002,-73.91456450000005,-0.91796875,-0.9007633587787041,cat-2,Queens,-9.462199,6.520833
21 St & 43 Ave,21 St & 43 Ave,21 St,43 Ave,21 St,43 Ave,40.75052534000016,-73.9459484499998,0.4604743083004905,-0.6903353057198274,cat-2,Queens,-9.804559,5.306903
40 Ave & 9 St,40 Ave & 9 St,40 Ave,9 St,9 St,40 Ave,40.757420000000266,-73.94513300000045,0.0020161290321993874,1.4673267326732002,cat-2,Queens,-6.1169686,2.2068017
30 Ave & 21 St,30 Ave & 21 St,30 Ave,21 St,21 St,30 Ave,40.77037429999982,-73.92860780000031,-1.262626262626327,-2.9131313131313163,cat-2,Queens,-9.811983,7.0928993
36 Ave & 10 St,36 Ave & 10 St,36 Ave,10 St,10 St,36 Ave,40.76143759999978,-73.94112650000089,-2.8577235772356744,-2.556224899598419,cat-2,Queens,-10.53387,5.4395742
Division Ave & Marcy Ave,Division Ave & Marcy Ave,Division Ave,Marcy Ave,N.A.,Division Ave,40.70708700999975,-73.95796782999973,-5.041322314049694,-3.991820040899711,cat-4,North Brooklyn,-10.936466,4.9940567
Jackson St & Leonard St,Jackson St & Leonard St,Jackson St,Leonard St,Jackson St,N.A.,40.71638031973598,-73.94821286201476,-3.0496894409936885,-4.294605809128598,cat-4,North Brooklyn,-11.1410675,4.658787
47 Ave & 31 St,47 Ave & 31 St,47 Ave,31 St,31 St,47 Ave,40.742999999999995,-73.9356100000004,-2.9089026915114573,-2.5731707317072505,cat-2,Queens,-11.33814,4.2872725
Knickerbocker Ave & George St,Knickerbocker Ave & George St,Knickerbocker Ave,George St,George St,Knickerbocker Ave,40.70442499999991,-73.92836000000062,-3.186974789915894,-4.196356275303742,cat-4,North Brooklyn,-10.671196,7.288573
3 Ave & E 112 St,3 Ave & E 112 St,3 Ave,E 112 St,E 112 St,3 Ave,40.795507999999614,-73.94160600000028,-4.182773109243726,-3.675889328063249,cat-10,Harlem,-11.177969,6.655001
5 St & 51 Ave,5 St & 51 Ave,5 St,51 Ave,5 St,51 Ave,40.74237370000017,-73.95660000000042,-1.4050632911391858,-1.7312500000000455,cat-2,Queens,-11.296014,4.7386346
35 St & 34 Ave,35 St & 34 Ave,35 St,34 Ave,35 St,34 Ave,40.75805830000019,-73.92427509999919,-2.3467230443975495,-1.6989247311828422,cat-2,Queens,-11.710771,3.6468494
Carroll St & Washington Ave,Carroll St & Washington Ave,Carroll St,Washington Ave,Carroll St,Washington Ave,40.668674399999894,-73.96181480000065,-2.1893617021275986,-1.8115942028985046,cat-5,South Brooklyn,-11.922047,4.3073316
Irving Ave & Jefferson St,Irving Ave & Jefferson St,Irving Ave,Jefferson St,Jefferson St,Irving Ave,40.705379999999735,-73.92535000000049,-4.41341991341983,-3.7707006369425926,cat-4,North Brooklyn,-11.479171,4.81824
Fulton St & Irving Pl,Fulton St & Irving Pl,Fulton St,Irving Pl,Fulton St,N.A.,40.681860000000285,-73.95943199999985,-2.9761388286333386,-3.2909482758620925,cat-7,Central Brooklyn,-11.125786,4.155557
Stockholm St & Wilson Ave,Stockholm St & Wilson Ave,Stockholm St,Wilson Ave,Stockholm St,Wilson Ave,40.69930400000004,-73.9230439999995,-4.732456140350905,-4.585106382978665,cat-4,North Brooklyn,-11.853124,3.8169916
India St & Manhattan Ave,India St & Manhattan Ave,India St,Manhattan Ave,India St,Manhattan Ave,40.73232193999997,-73.95508580000022,-4.442477876106295,-4.776000000000067,cat-4,North Brooklyn,-11.451541,7.3735294
35 Ave & 10 St,35 Ave & 10 St,35 Ave,10 St,10 St,35 Ave,40.76315481910366,-73.93985509872438,-6.290178571428669,-5.277522935779871,cat-2,Queens,-11.865868,6.8554997
23 Ave & 27 St,23 Ave & 27 St,23 Ave,27 St,27 St,23 Ave,40.7761649999997,-73.91531749999943,-2.4308390022674757,-0.432671081677654,cat-2,Queens,-11.981803,4.6663375
Crescent St & 35 Ave,Crescent St & 35 Ave,Crescent St,35 Ave,Crescent St,35 Ave,40.759627600000286,-73.9321454999997,-2.337129840546595,-1.9773755656108278,cat-2,Queens,-11.796569,4.5044017
Throop Ave & Myrtle Ave,Throop Ave & Myrtle Ave,Throop Ave,Myrtle Ave,N.A.,Throop Ave,40.696229370000005,-73.94371093999946,-5.552995391705053,-4.22374429223737,cat-7,Central Brooklyn,-12.283844,4.812333
Columbus Ave & W 103 St,Columbus Ave & W 103 St,Columbus Ave,W 103 St,W 103 St,Columbus Ave,40.796934699999866,-73.96434122910046,-2.805164319248888,-2.5181598062954436,cat-9,Upper West Side,-12.987237,4.4932837
Pacific St & Classon Ave,Pacific St & Classon Ave,Pacific St,Classon Ave,Pacific St,Classon Ave,40.67919439999977,-73.95879029999946,-3.6545893719805917,-4.314903846153811,cat-5,South Brooklyn,-13.139373,5.600589
37 St & 24 Ave,37 St & 24 Ave,37 St,24 Ave,37 St,24 Ave,40.77014769999963,-73.91209380000055,-0.033898305084676394,-0.44523809523798263,cat-2,Queens,-13.52512,4.7742443
5 St & Market St,5 St & Market St,5 St,Market St,5 St,N.A.,40.699997484388874,-73.97440128028394,-2.9927184466018844,-3.565533980582586,cat-6,Central Brooklyn,-13.598689,5.3296905
Lincoln Pl & Classon Ave,Lincoln Pl & Classon Ave,Lincoln Pl,Classon Ave,N.A.,Classon Ave,40.67216829999972,-73.96089999999919,-3.975728155339766,-3.2860824742267596,cat-5,South Brooklyn,-13.534022,5.2029543
Waterbury St & Stagg St,Waterbury St & Stagg St,Waterbury St,Stagg St,Waterbury St,N.A.,40.71018999999983,-73.93734000000035,-2.940886699507473,-3.750636132315549,cat-4,North Brooklyn,-14.0447445,6.1984363
Commerce St & Van Brunt St,Commerce St & Van Brunt St,Commerce St,Van Brunt St,Commerce St,N.A.,40.68121170000041,-74.0086091199994,-0.4765432098765814,-0.02874743326492535,cat-5,South Brooklyn,-14.137205,6.019339
10 Hudson Yards,10 Hudson Yards,10 Hudson Yards,10 Hudson Yards,N.A.,N.A.,40.75295700000024,-74.00263999999959,-1.8391089108911274,-0.5241730279897183,cat-12,Midtown,-14.333671,4.9396763
Devoe St & Morgan Ave,Devoe St & Morgan Ave,Devoe St,Morgan Ave,Devoe St,Morgan Ave,40.71381099999973,-73.93515000000036,-1.9925187032417853,-2.7089947089946236,cat-4,North Brooklyn,-14.44277,7.1980586
10 St & 2 Ave,10 St & 2 Ave,10 St,2 Ave,10 St,2 Ave,40.671906999999926,-73.99361199999939,-1.0,-1.2543640897756632,cat-5,South Brooklyn,-14.817128,5.2009897
Bushwick Ave & McKibbin St,Bushwick Ave & McKibbin St,Bushwick Ave,McKibbin St,McKibbin St,Bushwick Ave,40.70551700000023,-73.93936000000025,-4.440414507771948,-3.954787234042442,cat-4,North Brooklyn,-14.799584,5.703922
34 Ave & 21 St,34 Ave & 21 St,34 Ave,21 St,21 St,34 Ave,40.762813799999996,-73.93428620000039,1.9036458333332575,0.04250000000001819,cat-2,Queens,-15.440755,5.004322
Stagg St & Morgan Ave,Stagg St & Morgan Ave,Stagg St,Morgan Ave,Stagg St,Morgan Ave,40.710681000000115,-73.93372000000063,-1.8865435356201488,-1.515068493150693,cat-4,North Brooklyn,-14.797508,4.6874647
Albany Ave & Fulton St,Albany Ave & Fulton St,Albany Ave,Fulton St,Fulton St,Albany Ave,40.68001050000017,-73.93847499999983,-4.331550802138963,-4.216577540106982,cat-7,Central Brooklyn,-14.8069105,5.7175045
31 St & Hoyt Ave N,31 St & Hoyt Ave N,31 St,Hoyt Ave N,31 St,Hoyt Ave N,40.77115279999999,-73.91700739999963,-0.851752021563243,-1.565683646112575,cat-2,Queens,-15.281134,5.9369316
George St & Wilson Ave,George St & Wilson Ave,George St,Wilson Ave,George St,Wilson Ave,40.702997000000224,-73.92997000000021,-4.037735849056617,-3.7097625329815855,cat-4,North Brooklyn,-15.373034,5.139505
Sterling St & Bedford Ave,Sterling St & Bedford Ave,Sterling St,Bedford Ave,Sterling St,Bedford Ave,40.662705900000184,-73.95691150000042,-0.7675675675675393,-1.691891891891828,cat-5,South Brooklyn,-15.92348,5.7026825
Irving Ave & DeKalb Ave,Irving Ave & DeKalb Ave,Irving Ave,DeKalb Ave,N.A.,Irving Ave,40.70269999999985,-73.92094999999978,-4.76086956521749,-4.707196029776696,cat-4,North Brooklyn,-5.8989453,0.832344
Wyckoff St & Bond St,Wyckoff St & Bond St,Wyckoff St,Bond St,Wyckoff St,N.A.,40.68461653897966,-73.98721285164356,1.256198347107329,0.14016172506740077,cat-5,South Brooklyn,4.541376,-9.465288
Morningside Dr & Amsterdam Ave,Morningside Dr & Amsterdam Ave,Morningside Dr,Amsterdam Ave,N.A.,Amsterdam Ave,40.8102850630602,-73.95736455917357,-1.3795013850415216,-1.989071038251268,cat-9,Upper West Side,6.9501452,-6.429801
31 Ave & 14 St,31 Ave & 14 St,31 Ave,14 St,14 St,31 Ave,40.768200000000306,-73.93226620000041,-2.128133704735319,-1.618131868131968,cat-2,Queens,4.065396,-4.5857997
Richards St & Delavan St,Richards St & Delavan St,Richards St,Delavan St,Richards St,N.A.,40.67943270000019,-74.0078504099995,0.39650145772588985,0.828644501278859,cat-5,South Brooklyn,6.2986426,-4.7395215
Columbia St & W 9 St,Columbia St & W 9 St,Columbia St,W 9 St,Columbia St,N.A.,40.67699929999984,-74.00647133999978,-2.220895522387991,-1.7859237536656565,cat-5,South Brooklyn,-7.2386284,1.1541213
Carroll St & Franklin Ave,Carroll St & Franklin Ave,Carroll St,Franklin Ave,Carroll St,Franklin Ave,40.66794110000004,-73.95880000000027,-5.814589665653557,-4.560975609756042,cat-5,South Brooklyn,-6.645723,0.5968325
Wolcott St & Dwight St,Wolcott St & Dwight St,Wolcott St,Dwight St,Wolcott St,N.A.,40.67532740000013,-74.0100697999998,0.6634615384614335,0.8710601719196802,cat-5,South Brooklyn,-5.3444724,2.8516724
Clinton St & Centre St,Clinton St & Centre St,Clinton St,Centre St,Clinton St,N.A.,40.674339999999724,-74.00194698000004,4.236065573770475,2.2231638418079456,cat-5,South Brooklyn,-2.696381,2.6173937
Sigourney St & Columbia St,Sigourney St & Columbia St,Sigourney St,Columbia St,Sigourney St,N.A.,40.67267243410966,-74.00879524648191,-0.6092715231789043,-0.24935732647804798,cat-5,South Brooklyn,5.757513,-0.7382172
Dwight St & Van Dyke St,Dwight St & Van Dyke St,Dwight St,Van Dyke St,Dwight St,N.A.,40.67363551341492,-74.01195555925368,0.24657534246580326,-0.861460957178906,cat-5,South Brooklyn,-4.69898,2.287712
Montgomery St & Franklin Ave,Montgomery St & Franklin Ave,Montgomery St,Franklin Ave,Montgomery St,Franklin Ave,40.66643930687085,-73.96055638790129,-2.6506849315069303,-4.529411764705856,cat-5,South Brooklyn,9.659817,-9.590991
39 St & 2 Ave - Citi Bike HQ at Industry City,39 St & 2 Ave - Citi Bike HQ at Industry City,39 St,2 Ave - Citi Bike HQ at Industry City,39 St,2 Ave - Citi Bike HQ at Industry City,40.65539977447821,-74.0106278657913,-1.2965517241379985,-0.3571428571428896,cat-5,South Brooklyn,-16.198965,5.226695
Sullivan Pl & Bedford Ave,Sullivan Pl & Bedford Ave,Sullivan Pl,Bedford Ave,N.A.,Bedford Ave,40.6642405999998,-73.95746860000014,-8.552083333333258,-6.617647058823422,cat-5,South Brooklyn,-15.509979,4.686438
Pioneer St & Richards St,Pioneer St & Richards St,Pioneer St,Richards St,Pioneer St,N.A.,40.67777480000024,-74.0094613000001,2.98943661971839,1.1866666666667243,cat-5,South Brooklyn,-5.008017,3.339203
11 St & 43 Ave,11 St & 43 Ave,11 St,43 Ave,11 St,43 Ave,40.751907100000075,-73.9479119,-0.5942028985507477,-0.8555133079848929,cat-2,Queens,-3.2267578,2.8898175
Bushwick Ave & Stagg St,Bushwick Ave & Stagg St,Bushwick Ave,Stagg St,Stagg St,Bushwick Ave,40.70989700000008,-73.94008000000022,-4.6579925650557925,-4.803088803088713,cat-4,North Brooklyn,6.118906,-0.6631055
40 Ave & Crescent St,40 Ave & Crescent St,40 Ave,Crescent St,Crescent St,40 Ave,40.7535992020057,-73.9379560947418,-2.247148288973449,-1.581749049429618,cat-2,Queens,6.988194,-1.3779819
48 Ave & 30 Pl,48 Ave & 30 Pl,48 Ave,30 Pl,N.A.,48 Ave,40.741283093559794,-73.93725872039794,-1.2681992337165866,-2.1374045801526336,cat-3,Queens,-2.5972247,1.1061327
34 Ave & 13 St,34 Ave & 13 St,34 Ave,13 St,13 St,34 Ave,40.763875299999896,-73.93648480000017,-2.6614785992217094,-2.5643939393939945,cat-2,Queens,6.539102,-5.012537
White St & Johnson Ave,White St & Johnson Ave,White St,Johnson Ave,White St,Johnson Ave,40.707173999999895,-73.93581000000022,-5.252918287937746,-5.599999999999909,cat-4,North Brooklyn,8.414723,-3.0413592
47 Ave & Skillman Ave,47 Ave & Skillman Ave,47 Ave,Skillman Ave,N.A.,47 Ave,40.74375240997855,-73.94176483154297,-4.315789473684163,-7.062256809338578,cat-2,Queens,7.9310184,-4.1632924
21 St & 38 Ave,21 St & 38 Ave,21 St,38 Ave,21 St,38 Ave,40.75763139999986,-73.9391223999996,-0.6422413793102351,-0.8247863247863734,cat-2,Queens,8.008147,-1.0036863
Henry St & W 9 St,Henry St & W 9 St,Henry St,W 9 St,Henry St,N.A.,40.67637439999999,-74.00324956999985,-1.4861111111110858,-2.0090090090091053,cat-5,South Brooklyn,5.313434,-5.8894606
27 Ave & 4 St,27 Ave & 4 St,27 Ave,4 St,4 St,27 Ave,40.774717500000186,-73.93378940000001,-2.6829268292683537,-2.8605769230769056,cat-2,Queens,4.43155,-11.568329
21 St & 36 Ave,21 St & 36 Ave,21 St,36 Ave,21 St,36 Ave,40.760185299999875,-73.93627259999995,-1.5925925925926094,-1.702127659574444,cat-2,Queens,7.2687783,-0.9658171
11 St & 35 Ave,11 St & 35 Ave,11 St,35 Ave,11 St,35 Ave,40.76274420000003,-73.93911409999981,-0.13380281690137963,-0.859060402684463,cat-2,Queens,6.425306,-8.282955
Railroad Ave & Kay Ave,Railroad Ave & Kay Ave,Railroad Ave,Kay Ave,N.A.,Railroad Ave,40.70531193999986,-73.97100055999981,-5.9219858156027385,-5.544871794871824,cat-6,Central Brooklyn,6.431025,-8.729371
Columbia St & Lorraine St,Columbia St & Lorraine St,Columbia St,Lorraine St,Columbia St,N.A.,40.67470550000004,-74.00755719999985,4.105769230769283,0.17222222222221717,cat-5,South Brooklyn,2.9352124,-1.8560454
Crown St & Bedford Ave,Crown St & Bedford Ave,Crown St,Bedford Ave,Crown St,Bedford Ave,40.666563000000004,-73.95674099999998,-5.454545454545496,-3.941176470588289,cat-1,Governors Island,3.464123,3.3440797
